rank,patent_id,title,grant_date,assignee,years_remaining,forward_citations,competitor_citations,competitor_count,competitors,sector,sector_name,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,ipr_risk_score,prosecution_quality_score,implementation_type,standards_relevance,score_consensus,score_ip-lit-aggressive,score_ip-lit-balanced,score_ip-lit-conservative,score_licensing,score_corporate-ma,score_executive,rank_ip-lit-aggressive,rank_ip-lit-balanced,rank_ip-lit-conservative,rank_licensing,rank_corporate-ma,rank_executive
39,9166993,"Anomaly detection based on profile history and peer history",2015-10-20,"Symantec Corporation",6.8,87,4,2,"Microsoft; Google",cloud-auth,"Cloud / Authentication",3,3,3,3,3,4,5,5,software,none,10.93,11.79,12.76,7.98,13.13,10.79,9.16,47,43,46,17,37,38
40,9401925,"Systems and methods for detecting security threats based on user profiles",2016-07-26,"Symantec Corporation",7.5,109,4,3,"Comcast; Microsoft; Amazon",cloud-auth,"Cloud / Authentication",3,3,3,2,2,4,5,4,software,none,10.91,11.42,13.03,9.86,10.01,12.15,8.98,50,39,31,48,27,39
41,10063582,"Securing compromised network devices in a network",2018-08-28,"Symantec Corporation",9.6,32,3,2,"Microsoft; Apple",ai-ml,"AI/ML / Machine Learning",2,3,3,2,3,4,5,5,software,none,10.81,10.92,12.78,11.21,10.44,10.87,8.65,54,42,21,45,35,43
42,8954740,"Session key proxy decryption method to secure content in a one-to-many relationship",2015-02-10,"Symantec Corporation",6.1,92,13,5,"Google; Apple; Amazon; Sony; Microsoft",cloud-auth,"Cloud / Authentication",3,3,3,2,3,3,5,1.8,system,related,10.13,10.53,11.83,7.47,12.35,10.71,7.90,56,52,50,25,38,51
43,9300728,"Controlling resource deployment thresholds in a distributed computer system",2016-03-29,"CA, Inc.",7.2,16,3,2,"Amazon; Microsoft",network-protocols,"Network Protocols",3,3,3,3,3,5,,,system,none,10.06,12.56,12.80,6.57,8.31,10.29,9.84,38,41,65,81,42,32
44,9225735,"Systems and methods for blocking flanking attacks on computing systems",2015-12-29,"Symantec Corporation",7.0,5,5,2,"Red Hat; McAfee",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,9.96,12.54,13.42,6.98,8.81,8.69,9.34,40,38,55,69,64,37
45,8950005,"Method and system for protecting content of sensitive web applications",2015-02-03,"Symantec Corporation",6.1,20,7,2,"Amazon; Microsoft",cloud-auth,"Cloud / Authentication",3,3,3,4,3,4,5,1.8,software,none,9.94,12.22,12.83,6.84,10.83,8.85,8.08,42,40,59,39,59,48
46,8997195,"Access to vaulted credentials using login computer, mobile computing device, and manager computing d",2015-03-31,"CA, Inc.",6.2,38,7,2,"Amazon; Comcast",cloud-auth,"Cloud / Authentication",3,3,3,3,2,4,5,4,system,related,9.88,10.82,12.62,7.54,11.08,9.39,7.83,55,45,49,36,52,52
47,10573020,"Location validation through physical surroundings",2020-02-25,"Symantec Corporation",11.1,9,2,1,"Microsoft",image-processing,"Image Processing",3,3,4,3,3,4,5,,method,none,9.81,12.10,12.53,7.68,8.69,9.23,8.59,44,48,47,72,53,45
48,10042768,"Virtual machine migration",2018-08-07,"Avago Technologies General IP (Singapore) Pte. Ltd.",9.6,10,2,2,"Google; ByteDance",cloud-auth,"Cloud / Authentication",4,3,3,3,3,4,5,2.8,system,none,9.72,11.93,11.55,9.12,10.47,7.77,7.46,45,56,35,44,76,57
49,9743040,"Systems and methods for facilitating eye contact during video conferences",2017-08-22,"Symantec Corporation",8.6,9,3,2,"Apple; Sony",video-codec,"Video Codec / Transcoding",2,3,3,3,3,4,5,3.5,software,related,9.64,11.26,12.59,7.65,9.14,8.82,8.38,51,47,48,62,60,46
50,9330274,"Methods and systems for applying parental-control policies to media files",2016-05-03,"Symantec Corporation",7.3,12,6,1,"Google",computing-data-protection,"Computing Data Protection",2,3,3,3,3,3,5,,software,none,9.63,11.55,13.56,8.35,7.51,8.74,8.06,48,37,42,107,63,49
51,8862675,"Method and system for asynchronous analysis of URLs in messages in a live message processing environ",2014-10-14,"Symantec Corporation",5.7,15,7,3,"FireEye; Oracle; NetApp, Inc.",event-live,"Event / Live Streaming",3,3,3,4,2,4,5,2.3,system,none,9.63,11.51,12.59,7.03,10.57,8.07,8.00,49,46,53,43,72,50
52,9256739,"Systems and methods for using event-correlation graphs to generate remediation procedures",2016-02-09,"Symantec Corporation",7.1,116,2,1,"Microsoft",event-live,"Event / Live Streaming",3,3,3,3,3,4,5,4,software,none,9.47,11.17,10.65,8.02,9.22,9.54,8.24,52,62,45,59,50,47
53,10116680,"Systems and methods for evaluating infection risks based on profiled user behaviors",2018-10-30,"Symantec Corporation",9.8,28,5,2,"Microsoft; Amazon",cloud-auth,"Cloud / Authentication",2,3,3,2,2,4,5,4,software,none,9.47,9.38,11.64,10.33,8.82,9.62,7.02,68,54,24,67,49,64
54,9482739,"Indoor/outdoor transition determination",2016-11-01,"Broadcom Corporation",7.8,11,4,1,"Google",wireless-services,"Wireless Services",3,3,3,3,3,4,,,software,none,9.45,11.87,12.64,6.60,7.77,9.10,8.71,46,44,64,94,55,42
55,8826443,"Selective removal of protected content from web requests sent to an interactive website",2014-09-02,"Symantec Corporation",5.6,254,6,3,"Google; Microsoft; Amazon",cloud-auth,"Cloud / Authentication",3,3,3,3,3,4,5,1,software,none,9.32,10.41,10.02,6.33,11.66,10.28,7.22,59,69,72,32,43,59
56,9356939,"System and method for dynamic access control based on individual and community usage patterns",2016-05-31,"CA, Inc.",7.4,13,5,2,"Amazon; Microsoft",cloud-auth,"Cloud / Authentication",2,3,4,2,3,4,5,2.3,software,none,9.30,10.47,12.36,7.31,7.32,10.66,7.69,57,49,52,116,40,54
57,9948663,"Systems and methods for predicting security threat attacks",2018-04-17,"Symantec Corporation",9.3,273,4,1,"Microsoft",security,"Security / Threat Detection",2,3,3,2,2,4,5,3.3,software,none,9.16,8.66,9.70,10.23,9.56,10.68,6.16,91,80,28,56,39,85
58,8762512,"Providing dynamically shared cloud accounts",2014-06-24,"Symantec Corporation",5.4,22,12,2,"Microsoft; Amazon",cloud-auth,"Cloud / Authentication",2,3,3,3,2,3,5,4,software,none,8.87,9.49,11.88,7.32,9.68,7.66,7.19,65,51,51,54,78,62
59,9787704,"Anomaly detection based on cluster transitions",2017-10-10,"CA, Inc.",8.7,5,3,2,"Apple; Meta",network-threat-protection,"Network Threat Protection",2,3,4,2,3,4,5,,software,none,8.85,9.81,11.56,6.48,8.57,9.46,7.21,62,55,67,77,51,60
60,10904508,"360 degree video with combined projection format",2021-01-26,"Avago Technologies International Sales Pte. Limited",12.0,1,1,1,"Apple",3d-stereo-depth,"3D Stereo & Depth",4,4,4,3,4,4,5,,system,related,8.85,12.55,10.83,6.75,8.87,6.39,7.69,39,59,60,66,109,55
61,8671080,"System and method for managing data loss due to policy violations in temporary files",2014-03-11,"Symantec Corporation",5.1,23,15,2,"Microsoft; Google",cloud-auth,"Cloud / Authentication",3,3,3,2,2,4,5,2.8,software,none,8.78,9.20,11.36,6.67,9.63,9.73,6.08,75,58,62,55,46,88
62,10360366,"Systems and methods for providing two-factor authentication with an enterprise gateway when an authe",2019-07-23,"Symantec Corporation",10.5,5,2,1,"Microsoft",computing-auth-boot,"Computing Auth & Secure Boot",3,3,3,3,3,4,5,,system,related,8.69,11.16,11.39,6.94,7.41,7.72,7.49,53,57,56,112,77,56
63,8869286,"Systems and methods for analyzing client-side storage security for internet applications",2014-10-21,"Symantec Corporation",5.8,15,10,1,"Amazon",network-threat-protection,"Network Threat Protection",3,3,3,3,2,3,5,,software,none,8.52,9.78,11.77,6.65,9.47,7.31,6.12,63,53,63,57,85,87
64,9137228,"Augmenting service provider and third party authentication",2015-09-15,"Symantec Corporation",6.7,32,4,2,"Microsoft; Amazon",network-auth-access,"Network Auth & Access Control",3,3,4,2,3,4,5,,system,related,8.46,9.01,10.18,5.45,10.10,9.68,6.35,83,66,84,47,48,79
65,8711684,"Method and apparatus for detecting an intermittent path to a storage system",2014-04-29,"Symantec Corporation",5.3,7,7,2,"EMC Corporation; Hewlett Packard Enterprise Development LP",network-management,"Network Management",,,,,,,,,,,8.40,9.89,10.80,4.99,9.88,7.50,7.33,60,60,104,51,81,58
66,10966074,"Power-efficient, balanced, and reliable true wireless Bluetooth stereo audio solution",2021-03-30,"Avago Technologies International Sales Pte. Limited",12.2,1,1,1,"Apple",wireless-services,"Wireless Services",3,3,4,4,4,5,5,,system,related,8.29,12.11,10.65,5.85,6.89,5.63,8.63,43,61,80,131,131,44
67,8935768,"Controlling client access to email responsive to email class levels",2015-01-13,"CA, Inc.",6.0,17,6,2,"Amazon; Microsoft",computing-data-protection,"Computing Data Protection",,,,,,,,,,,8.10,9.48,10.13,4.79,9.80,7.32,7.08,66,67,111,52,84,63
68,10206099,"Geolocation-based two-factor authentication",2019-02-12,"Symantec Corporation",10.1,23,2,2,"Google; Microsoft",cloud-auth,"Cloud / Authentication",3,3,3,3,3,4,5,1,software,none,8.08,10.46,9.62,6.39,7.57,7.83,6.62,58,83,70,99,73,70
69,9639692,"Dynamic on-device passcodes to lock lost or stolen devices",2017-05-02,"Symantec Corporation",8.3,21,3,1,"Apple",computing-auth-boot,"Computing Auth & Secure Boot",3,3,3,2,3,4,,,software,none,8.05,9.27,9.96,5.23,8.42,8.76,6.66,72,70,92,79,61,68
70,9661023,"Systems and methods for automatic endpoint protection and policy management",2017-05-23,"Symantec Corporation",8.3,14,3,1,"Google",network-secure-compute,"Secure Computing & MPC",3,3,3,2,3,4,,,system,none,7.92,9.20,9.96,5.13,8.17,8.52,6.56,74,71,97,82,66,73
71,9614833,"Automated certificate management for a website associated with multiple certificates",2017-04-04,"Symantec Corporation",8.2,14,3,1,"Amazon",network-auth-access,"Network Auth & Access Control",3,3,3,3,2,4,,,software,related,7.84,9.45,10.21,5.41,7.96,7.23,6.79,67,65,87,84,86,66
72,8640204,"Wireless device for group access and management",2014-01-28,"Broadcom Corporation",5.0,5,5,3,"Intel; Google; Samsung",wireless-security,"Wireless Security",,,,,,,,,,,7.79,9.19,9.80,4.55,9.46,6.85,6.89,76,76,119,58,92,65
73,9621579,"Systems and methods for protecting against unauthorized network intrusions",2017-04-11,"Symantec Corporation",8.2,6,3,1,"Google",network-threat-protection,"Network Threat Protection",3,3,3,2,3,4,,,system,related,7.73,9.10,9.96,4.96,7.79,8.16,6.40,80,72,107,90,70,76
74,9460406,"Management of event reminder notifications based on conflicting events",2016-10-04,"CA, Inc.",7.7,33,19,1,"Meta",event-live,"Event / Live Streaming",2,2,2,4,2,3,5,1.8,software,none,7.71,9.14,10.59,9.17,5.28,5.96,6.14,79,63,34,237,122,86
75,9414422,"Proximity detection for mobile communication devices using geo-fencing",2016-08-09,"Broadcom Corporation",7.6,30,4,1,"Comcast",wireless-mobility,"Wireless Mobility",3,3,3,2,2,3,5,,system,none,7.65,8.83,10.48,6.93,6.80,7.60,5.26,87,64,57,137,80,129
76,9106687,"Mechanism for profiling user and group accesses to content repository",2015-08-11,"Symantec Corporation",6.6,89,15,1,"Amazon",cloud-auth,"Cloud / Authentication",2,3,3,2,2,3,5,3.5,software,none,7.61,7.63,9.82,6.40,8.63,8.11,5.04,135,75,69,73,71,145
77,9264426,"System and method for authentication via a proximate device",2016-02-16,"Broadcom Corporation",7.1,11,3,1,"Amazon",network-auth-access,"Network Auth & Access Control",3,3,3,2,3,4,,,system,none,7.59,9.17,9.96,5.07,6.44,8.40,6.51,77,73,102,160,68,74
78,10378893,"Location detection sensors for physical devices",2019-08-13,"CA, Inc.",10.6,234,0,0,"",wireless-services,"Wireless Services",4,3,4,4,3,4,5,5,system,related,7.59,7.83,4.35,6.86,9.76,8.92,7.81,130,311,58,53,57,53
79,9077703,"Systems and methods for protecting user accounts",2015-07-07,"Symantec Corporation",6.5,13,5,2,"Google; Amazon",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,7.56,8.94,9.47,4.42,9.17,6.77,6.58,84,85,120,61,97,71
80,9590872,"Automated cloud IT services delivery solution model",2017-03-07,"CA, Inc.",8.1,49,5,3,"Apple; Amazon; Microsoft",cloud-auth,"Cloud / Authentication",2,3,3,2,2,4,5,1.8,software,related,7.53,8.03,9.24,6.17,7.43,8.49,5.80,114,87,73,111,67,94
81,8863307,"Authenticating users based upon an identity footprint",2014-10-14,"Broadcom Corporation",5.7,23,13,1,"Amazon",cloud-auth,"Cloud / Authentication",2,3,3,2,3,4,5,2.3,software,related,7.50,8.12,9.80,5.38,7.59,8.92,5.22,110,78,89,97,58,133
82,8116374,"Method and system for generating a transform size syntax element for video decoding",2012-02-14,"Broadcom Corporation",3.1,31,28,2,"Google; Microsoft",video-codec,"Video Codec / Transcoding",3,3,4,3,4,4,5,1.8,method,likely_essential,7.47,6.70,7.49,4.86,10.76,8.75,6.28,156,150,109,41,62,82
83,9483627,"Abstracting credentials for mobile client authentication",2016-11-01,"Symantec Corporation",7.8,28,5,2,"Microsoft; Amazon",cloud-auth,"Cloud / Authentication",3,3,3,2,2,4,5,1,system,related,7.44,8.86,9.80,6.08,6.27,8.37,5.26,86,77,77,167,69,128
84,9762497,"System, method and apparatus for network congestion management and network resource isolation",2017-09-12,"Avago Technologies General IP (Singapore) Pte. Ltd.",8.7,41,2,1,"Google",ai-ml,"AI/ML / Machine Learning",4,3,3,2,3,4,5,1.8,hardware,related,7.44,9.05,8.68,5.48,8.58,7.65,5.17,82,97,83,76,79,140
85,8776168,"Applying security policy based on behaviorally-derived user risk profiles",2014-07-08,"Symantec Corporation",5.5,167,3,2,"Microsoft; Amazon",cloud-auth,"Cloud / Authentication",2,3,4,2,3,5,5,2.3,system,none,7.41,7.49,7.95,4.66,8.55,9.96,5.84,137,119,114,78,45,93
86,10129257,"Authorization server access system",2018-11-13,"CA, Inc.",9.8,6,2,2,"Microsoft; Amazon",cloud-auth,"Cloud / Authentication",3,3,3,3,3,4,5,1.8,system,related,7.40,9.29,8.99,6.73,7.58,6.11,5.66,71,94,61,98,117,102
87,8918901,"System and method for restricting access to requested data based on user location",2014-12-23,"CA, Inc.",5.9,23,8,1,"Amazon",wireless-security,"Wireless Security",2,3,3,3,2,4,5,,software,none,7.39,8.28,10.04,5.49,7.52,7.46,5.58,99,68,82,106,82,108
88,9781019,"Systems and methods for managing network communication",2017-10-03,"Symantec Corporation",8.7,9,3,1,"Microsoft",network-management,"Network Management",2,3,4,3,2,4,,,software,none,7.35,8.45,9.70,4.90,7.20,7.18,6.70,97,81,108,121,88,67
89,8813174,"Embedded security blades for cloud service providers",2014-08-19,"Symantec Corporation",5.6,30,4,2,"Microsoft; Google",network-auth-access,"Network Auth & Access Control",,,,,,,,,,,7.31,8.56,8.81,4.25,9.19,6.66,6.38,95,96,127,60,99,77
90,9106645,"Automatic reset for time-based credentials on a mobile device",2015-08-11,"Symantec Corporation",6.6,22,10,1,"Amazon",cloud-auth,"Cloud / Authentication",3,3,3,3,2,4,5,1,software,related,7.29,8.77,9.77,5.19,7.74,7.33,4.92,89,79,94,95,83,150
91,9780950,"Authentication of PKI credential by use of a one time password and pin",2017-10-03,"Symantec Corporation",8.7,27,3,2,"Amazon; Apple",cloud-auth,"Cloud / Authentication",3,3,2,4,2,3,5,1,method,related,7.28,9.87,9.46,6.16,7.83,4.85,5.51,61,86,74,88,168,113
92,9041766,"Automated attention detection",2015-05-26,"CA, Inc.",6.4,24,4,2,"Microsoft; Sony",video-broadcast,"Video Broadcast",,,,,,,,,,,7.24,8.52,8.81,4.20,9.04,6.55,6.31,96,95,131,64,103,80
93,8436491,"Low pin count wireless power IC",2013-05-07,"Broadcom Corporation",4.3,12,4,2,"Intel; Samsung",wireless-transmission,"Wireless Transmission",4,3,3,4,4,5,,,hardware,likely_essential,7.23,9.75,9.49,3.19,8.96,6.15,5.85,64,84,177,65,115,92
94,8619085,"Method and system for compressing tile lists used for 3D rendering",2013-12-31,"Broadcom Corporation",5.0,22,5,1,"Google",image-processing,"Image Processing",,,,,,,,,,,7.22,8.57,9.14,4.26,8.62,6.64,6.07,94,91,126,74,101,89
