rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,year_multiplier,forward_citations,competitor_citations,competitor_count,competitors,sector,sector_name,sector_source,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,evidence_accessibility_score,trend_alignment_score,ipr_risk_score,prosecution_quality_score,score_aggressive,score_moderate,score_conservative,score_unified
38,9800608,Symantec Enterprise,"Processing data flows with a data flow processor",2017-10-24,"Symantec Corporation",8.8,0.76,138,92,7,"Cisco; Amazon; Rapid7; Forescout; Trend Micro; Intel; Bank of America",cloud-auth,"Cloud / Authentication",term,,,,,,3,2,3,5,1,57.9,53.0,51.8,54.2
39,10841152,Pivotal Software,"On-demand cluster creation and management",2020-11-17,"PIVOTAL SOFTWARE, INC.",14.8,0.99,20,12,7,"IBM; Microsoft; Huawei; Pure Storage; Dell EMC; HPE; Salesforce",,"",none,,,,,,,,,,,55.5,50.3,56.8,54.2
40,9239841,VMware,"Hash-based snapshots",2016-01-19,"VMware LLC",10.0,0.81,58,58,3,"Dropbox; HPE; Red Hat",,"",none,,,,,,,,,,,58.1,52.1,51.3,53.8
41,9047133,VMware,"Single, logical, multi-tier application blueprint used for deployment and management of multiple physical applications in a cloud environment",2015-06-02,"VMware LLC",9.4,0.78,48,31,10,"IBM; Huawei; Oracle; Microsoft; Amazon; Bank of America; Samsung; Red Hat; Intel; Cisco",,"",none,,,,,,,,,,,58.6,50.0,52.9,53.8
42,9569605,Symantec Enterprise,"Systems and methods for enabling biometric authentication options",2017-02-14,"Symantec Corporation",8.1,0.73,78,71,4,"Apple; Intel; Fortinet; PayPal",cloud-auth,"Cloud / Authentication",term,,,,,,5,4,5,5,1.8,56.2,52.9,50.5,53.2
43,10320940,Symantec Enterprise,"Managing generic data",2019-06-11,"Symantec Corporation",10.4,0.82,121,100,1,"OneTrust",network-protocols,"Network Protocols",cpc-subgroup,,,,,,3,2,3,5,1,55.3,53.1,51.1,53.2
44,9747249,Nicira (VMware SDN),"Methods and systems to achieve multi-tenancy in RDMA over converged Ethernet",2017-08-29,"Nicira, Inc.",11.6,0.87,125,18,7,"Arista; Cisco; Amazon; Pure Storage; HPE; Intel; Oracle",,"",none,,,,,,,,,,,53.9,51.9,53.6,53.2
45,9256739,Symantec Enterprise,"Systems and methods for using event-correlation graphs to generate remediation procedures",2016-02-09,"Symantec Corporation",7.1,0.68,116,56,7,"Splunk; Sophos; Salesforce; McAfee; Microsoft; Bank of America; Oracle",event-live,"Event / Live Streaming",term,,,,,,4,3,4,5,4,55.4,51.3,52.3,53.0
46,9571509,Symantec Enterprise,"Systems and methods for identifying variants of samples based on similarity analysis",2017-02-14,"Symantec Corporation",8.1,0.73,334,95,1,"OneTrust",computing-os-security,"Computing OS Security",cpc-subgroup,,,,,,4,2,4,5,2.3,53.0,54.3,50.7,52.7
47,10249266,VMware,"Preserving desktop state across login sessions",2019-04-02,"VMware LLC",13.2,0.93,49,30,1,"Fortinet",,"",none,,,,,,,,,,,54.0,51.6,52.0,52.5
48,8209680,VMware,"System and method for disk imaging on diverse computers",2012-06-26,"VMware LLC",6.4,0.65,174,48,11,"Palo Alto Networks; IBM; Microsoft; McAfee; Mastercard; Dell EMC; Citrix; Red Hat; Sony; Samsung; Nokia",,"",none,,,,,,,,,,,56.5,50.4,50.1,52.3
49,9760443,VMware,"Using a recovery snapshot during live migration",2017-09-12,"VMware LLC",11.6,0.87,42,38,2,"IBM; Amazon",,"",none,,,,,,,,,,,55.4,50.6,50.7,52.2
50,10255090,VMware,"Hypervisor context switching using a redirection exception vector in processors having more than two hierarchical privilege levels",2019-04-09,"VMware LLC",13.2,0.93,31,31,1,"Amazon",,"",none,,,,,,,,,,,54.0,50.4,51.2,51.9
51,8788822,Blue Coat Systems,"Enhanced QoS solution for thin client or remote access sessions",2014-07-22,"Blue Coat Systems, Inc.",8.5,0.74,72,68,5,"Apple; Warner; Citrix; Cisco; Red Hat",,"",none,,,,,,,,,,,56.3,49.8,49.2,51.8
52,8510827,VMware,"Taint tracking mechanism for computer security",2013-08-13,"VMware LLC",7.6,0.71,324,95,3,"FireEye; Palo Alto Networks; IBM",,"",none,,,,,,,,,,,53.1,53.2,49.0,51.7
53,10862749,VMware,"Systems for and methods of network management and verification using intent inference",2020-12-08,"VMware LLC",14.9,1.00,20,13,5,"HPE; Cisco; Intel; Microsoft; Dell EMC",,"",none,,,,,,,,,,,52.5,48.7,54.0,51.7
54,9378044,VMware,"Method and system that anticipates deleterious virtual-machine state changes within a virtualization layer",2016-06-28,"VMware LLC",10.4,0.82,39,29,7,"Microsoft; IBM; Zscaler; Amazon; Bank of America; SAP; CrowdStrike",,"",none,,,,,,,,,,,55.4,48.4,50.6,51.5
55,10116680,Symantec Enterprise,"Systems and methods for evaluating infection risks based on profiled user behaviors",2018-10-30,"Symantec Corporation",9.8,0.80,28,23,6,"Microsoft; Amazon; Forcepoint; Citrix; Rapid7; Oracle",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,4,5,4,52.2,49.0,53.1,51.4
56,8347263,VMware,"Repository including installation metadata for executable applications",2013-01-01,"VMware LLC",6.9,0.68,138,49,8,"IBM; Oracle; NEC; Microsoft; AMD; SAP; Red Hat; Huawei",,"",none,,,,,,,,,,,55.5,49.6,48.9,51.3
57,9628471,Symantec Enterprise,"Protecting user identity at a cloud using a distributed user identity system",2017-04-18,"Symantec Corporation",8.3,0.74,79,74,2,"Cisco; Meta",cloud-auth,"Cloud / Authentication",term,,,,,,4,2,5,5,3.3,53.0,50.3,50.3,51.2
58,9692778,Symantec Enterprise,"Method and system to prioritize vulnerabilities based on contextual correlation",2017-06-27,"Symantec Corporation",8.4,0.74,86,26,10,"NBCUniversal; Intel; Microsoft; Cisco; Bank of America; Netskope; BMC Software; Hyundai; T-Mobile; Qualys",security,"Security / Threat Detection",term,,,,,,4,3,4,5,1.8,53.8,49.5,50.3,51.2
59,9529630,Pivotal Software,"Cloud computing platform architecture",2016-12-27,"PIVOTAL SOFTWARE, INC.",10.9,0.84,39,34,4,"SAP; Oracle; Amazon; Bank of America",,"",none,,,,,,,,,,,54.5,48.8,49.7,51.0
60,8761036,Nicira (VMware SDN),"Network control apparatus and method with quality of service controls",2014-06-24,"Nicira, Inc.",8.4,0.74,143,88,3,"Cisco; Huawei; IBM",,"",none,,,,,,,,,,,53.9,50.6,48.2,50.9
61,10162655,VMware,"Hypervisor context switching using TLB tags in processors having more than two hierarchical privilege levels",2018-12-25,"VMware LLC",12.9,0.92,31,31,1,"Amazon",,"",none,,,,,,,,,,,53.0,49.4,50.1,50.8
62,10212041,Avi Networks,"Traffic pattern detection and presentation in container-based cloud computing architecture",2019-02-19,"Avi Networks",13.1,0.93,40,13,7,"Amazon; Cisco; IBM; Citrix; Dell EMC; Microsoft; Splunk",,"",none,,,,,,,,,,,52.1,47.9,52.3,50.8
63,8959215,Nicira (VMware SDN),"Network virtualization",2015-02-17,"Nicira, Inc.",9.1,0.77,76,37,6,"F5 Networks; Arista; Red Hat; Microsoft; Cisco; Juniper",,"",none,,,,,,,,,,,54.4,48.7,49.0,50.7
64,9069607,VMware,"Selective migration of virtualized applications and configuration settings thereof",2015-06-30,"VMware LLC",9.4,0.78,42,28,9,"Amazon; T-Mobile; Microsoft; Splunk; SAP; IBM; Cisco; Samsung; Oracle",,"",none,,,,,,,,,,,55.0,47.1,49.8,50.6
65,8560747,VMware,"Associating heartbeat data with access to shared resources of a computer system",2013-10-15,"VMware LLC",7.7,0.71,237,95,3,"Pure Storage; Microsoft; HPE",,"",none,,,,,,,,,,,52.6,51.2,47.7,50.5
66,11425134,CA Technologies,"Secure access to a corporate web application with translation between an internal address and an external address",2022-08-23,"CA, Inc.",13.6,0.95,5,4,4,"Cisco; Zscaler; Salesforce; Microsoft",network-auth-access,"Network Auth & Access Control",cpc-subgroup,,,,,,5,2,5,5,3.5,47.6,48.9,54.8,50.4
67,9985786,CA Technologies,"Cross-device authentication",2018-05-29,"CA, Inc.",9.4,0.78,46,24,10,"Microsoft; CyberArk; PayPal; Citrix; Snap; Bank of America; Salesforce; F5 Networks; Capital One; T-Mobile",network-crypto,"Network Cryptography",cpc-subgroup,,,,,,,,,,,54.4,46.7,49.8,50.3
68,9170798,VMware,"System and method for customizing a deployment plan for a multi-tier application in a cloud infrastructure",2015-10-27,"VMware LLC",9.8,0.80,29,23,10,"IBM; Amazon; Bank of America; Oracle; Capital One; Microsoft; Juniper; Dell EMC; Cisco; SAP",,"",none,,,,,,,,,,,54.6,46.1,49.9,50.2
69,9781602,CA Technologies,"Geographically based access management for internet of things device data",2017-10-03,"CA, Inc.",8.7,0.75,40,20,9,"Hyundai; Verizon; Intel; Bank of America; Samsung; Amazon; Google; Microsoft; PayPal",wireless-iot,"Wireless / IoT Geofencing",term,,,,,,4,3,5,5,4,51.4,47.5,51.7,50.2
70,9602422,Nicira (VMware SDN),"Implementing fixed points in network state updates using generation numbers",2017-03-21,"Nicira, Inc.",11.2,0.85,38,37,2,"Intel; Juniper",,"",none,,,,,,,,,,,53.4,48.5,48.5,50.1
71,8429630,CA Technologies,"Globally distributed utility computing cloud",2013-04-23,"CA, Inc.",4.3,0.56,675,54,10,"Intel; Amazon; Dell EMC; Microsoft; Google; Red Hat; Fortinet; Huawei; Cisco; OneTrust",cloud-auth,"Cloud / Authentication",term,,,,,,5,2,3,5,4,51.4,50.5,48.5,50.1
72,10963349,VMware,"Containerized application snapshots",2021-03-30,"VMware LLC",15.2,1.00,17,11,5,"Tencent; Bank of America; Juniper; Pure Storage; Red Hat",,"",none,,,,,,,,,,,50.3,46.8,52.4,49.9
73,8233882,VMware,"Providing security in mobile devices via a virtualization software layer",2012-07-31,"VMware LLC",6.5,0.66,313,96,5,"FireEye; Microsoft; IBM; Capital One; Citrix",,"",none,,,,,,,,,,,51.8,50.5,47.1,49.8
74,8776168,Symantec Enterprise,"Applying security policy based on behaviorally-derived user risk profiles",2014-07-08,"Symantec Corporation",5.5,0.61,167,52,9,"Microsoft; Salesforce; McAfee; Amazon; Dell EMC; Juniper; PayPal; Forcepoint; Bank of America",cloud-auth,"Cloud / Authentication",term,,,,,,5,2,5,5,2.3,52.8,49.1,47.3,49.7
75,10959098,VMware,"Dynamically specifying multiple public cloud edge nodes to connect to an external multi-computer node",2021-03-23,"VMware LLC",15.2,1.00,129,10,2,"Cisco; Amazon",,"",none,,,,,,,,,,,46.0,50.8,52.0,49.6
76,10698714,Nicira (VMware SDN),"Application/context-based management of virtual networks using customizable workflows",2020-06-30,"Nicira, Inc.",14.4,0.98,32,13,4,"HPE; Cisco; Juniper; Oracle",,"",none,,,,,,,,,,,49.3,47.1,51.1,49.2
77,8151263,VMware,"Real time cloning of a virtual machine",2012-04-03,"VMware LLC",6.2,0.65,102,45,11,"FireEye; IBM; Dell EMC; NEC; Red Hat; Palo Alto Networks; Sophos; Microsoft; NetApp; Intel; Google",,"",none,,,,,,,,,,,53.5,46.2,46.6,48.8
78,8738333,VMware,"Capacity and load analysis in a datacenter",2014-05-27,"VMware LLC",8.3,0.74,106,30,8,"Amazon; Splunk; Intel; IBM; Microsoft; Citrix; Bank of America; Red Hat",,"",none,,,,,,,,,,,51.9,46.9,47.4,48.7
79,9413430,Broadcom,"Measurement and reporting of received signal strength in NFC enabled devices",2016-08-09,"Broadcom Corporation",7.6,0.71,211,97,1,"Capital One",wireless-transmission,"Wireless Transmission",cpc-subgroup,,,,,,4,4,3,,,50.2,49.9,46.0,48.7
80,9558029,Nicira (VMware SDN),"Logical processing for containers",2017-01-31,"Nicira, Inc.",11.0,0.85,51,37,1,"Cisco",,"",none,,,,,,,,,,,51.2,47.7,46.8,48.6
81,9356943,Symantec Enterprise,"Systems and methods for performing security analyses on network traffic in cloud-based environments",2016-05-31,"Symantec Corporation",7.4,0.70,107,86,1,"Zscaler",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,5,3,5,,,50.8,49.4,45.5,48.6
82,11496392,Nicira (VMware SDN),"Provisioning logical entities in a multidatacenter environment",2022-11-08,"Nicira, Inc.",16.8,1.00,23,15,2,"Oracle; Capital One",,"",none,,,,,,,,,,,48.4,46.7,50.2,48.4
83,9424065,VMware,"Methods and apparatus to scale application deployments in cloud computing environments using virtual machine pools",2016-08-23,"VMware LLC",10.6,0.83,43,37,2,"Cisco; IBM",,"",none,,,,,,,,,,,51.6,47.0,46.6,48.4
84,7984304,VMware,"Dynamic verification of validity of executable code",2011-07-19,"VMware LLC",5.5,0.61,138,54,14,"Google; Huawei; Microsoft; IBM; PayPal; SAP; McAfee; Intel; Red Hat; Dell EMC; Amazon; HPE; Cisco; Samsung",,"",none,,,,,,,,,,,52.8,46.2,46.0,48.4
85,10880405,VMware,"Managing client computing systems using distilled data streams",2020-12-29,"VMware LLC",14.9,1.00,15,14,3,"Huawei; Oracle; Bank of America",,"",none,,,,,,,,,,,48.8,45.9,50.2,48.3
86,11080096,Pivotal Software,"Framework for managing cloud computing platforms",2021-08-03,"PIVOTAL SOFTWARE, INC.",15.5,1.00,12,10,5,"Zoom Video Communications; Microsoft; Intel; AMD; NetApp",,"",none,,,,,,,,,,,48.8,45.0,51.0,48.3
87,9166993,Symantec Enterprise,"Anomaly detection based on profile history and peer history",2015-10-20,"Symantec Corporation",6.8,0.67,87,32,7,"Oracle; Microsoft; Google; PayPal; NetApp; SentinelOne; Bank of America",cloud-auth,"Cloud / Authentication",term,,,,,,4,3,4,5,5,48.8,45.9,48.9,47.9
88,9274974,VMware,"Isolating data within a computer system using private shadow mappings",2016-03-01,"VMware LLC",10.1,0.81,42,16,12,"Intel; IBM; Apple; Trend Micro; Huawei; T-Mobile; Capital One; CrowdStrike; Microsoft; Ericsson; Google; Red Hat",,"",none,,,,,,,,,,,51.0,44.3,48.2,47.8
89,8813065,VMware,"Microcloud platform delivery system",2014-08-19,"VMware LLC",8.6,0.75,65,23,10,"Red Hat; Elastic; IBM; Amazon; Cisco; Microsoft; Dell EMC; Capital One; Salesforce; SAP",,"",none,,,,,,,,,,,51.4,44.8,47.2,47.8
90,D894927,VMware,"Display screen or portion thereof with a graphical user interface",2020-09-01,"VMware LLC",14.6,0.99,29,11,4,"Apple; Meta; Zoom Video Communications; Google",,"",none,,,,,,,,,,,47.6,45.7,50.0,47.8
91,9178906,Symantec Enterprise,"Detecting and remediating malware dropped by files",2015-11-03,"Symantec Corporation",6.8,0.67,122,100,2,"Cisco; McAfee",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,5,2,4,,,50.1,48.5,44.8,47.8
92,8429647,VMware,"Virtual machine migration across network by publishing routes to the associated virtual networks via virtual router after the start of migration of the virtual machine",2013-04-23,"VMware LLC",7.3,0.69,76,43,7,"Oracle; Intel; Google; Juniper; Red Hat; Dell EMC; Cisco",,"",none,,,,,,,,,,,52.1,45.6,45.5,47.8
93,9166997,Symantec Enterprise,"Systems and methods for reducing false positives when using event-correlation graphs to detect attacks on computing systems",2015-10-20,"Symantec Corporation",6.8,0.67,75,41,9,"Cisco; Microsoft; Sophos; Bank of America; Dell EMC; McAfee; FireEye; Salesforce; Forcepoint",network-threat-protection,"Network Threat Protection",cpc-subgroup,,,,,,,,,,,52.4,45.1,45.7,47.7
94,8141075,VMware,"Rule engine for virtualized desktop allocation system",2012-03-20,"VMware LLC",6.2,0.65,91,54,8,"Amazon; Red Hat; IBM; ZTE; Citrix; Microsoft; Mastercard; Dell EMC",,"",none,,,,,,,,,,,52.3,45.3,45.1,47.6
95,8479195,VMware,"Dynamic selection and application of multiple virtualization techniques",2013-07-02,"VMware LLC",7.4,0.70,67,56,5,"IBM; Meta; Amazon; Intel; Tencent",,"",none,,,,,,,,,,,52.0,45.6,44.8,47.5
96,8997078,Pivotal Software,"Release lifecycle management system for a multi-node application",2015-03-31,"PIVOTAL SOFTWARE, INC.",9.2,0.77,42,26,8,"Palo Alto Networks; Cisco; IBM; Huawei; Amazon; HPE; ServiceNow; Intel",,"",none,,,,,,,,,,,51.4,44.5,46.6,47.5
97,9104853,Symantec Enterprise,"Supporting proximity based security code transfer from mobile/tablet application to access device",2015-08-11,"Symantec Corporation",6.6,0.66,219,94,3,"LastPass; Capital One; Microsoft",computing-auth-boot,"Computing Auth & Secure Boot",cpc-subgroup,,,,,,4,4,3,,,49.1,48.0,44.8,47.3
98,9762619,Nicira (VMware SDN),"Multi-layer policy definition and enforcement framework for network virtualization",2017-09-12,"Nicira, Inc.",11.6,0.87,55,16,6,"Dell EMC; Amazon; Cisco; Oracle; Palantir; Salesforce",,"",none,,,,,,,,,,,48.7,45.2,47.7,47.2
99,8166474,VMware,"System and methods for implementing network traffic management for virtual and physical machines",2012-04-24,"VMware LLC",6.3,0.65,66,42,11,"Fortinet; Red Hat; McAfee; Intel; Citrix; Trend Micro; Juniper; Amazon; Dell EMC; Microsoft; IBM",,"",none,,,,,,,,,,,52.1,44.1,45.1,47.1
100,10567307,Avago Technologies,"Traffic management for high-bandwidth switching",2020-02-18,"Avago Technologies International Sales Pte. Limited",11.1,0.85,38,38,0,"",network-switching,"Network Switching & Routing",cpc-subgroup,,,,,,,,,,,49.8,46.2,45.2,47.0
101,8195774,VMware,"Distributed virtual switch for virtualized computer systems",2012-06-05,"VMware LLC",6.4,0.65,184,50,5,"Cisco; Microsoft; IBM; Intel; Dell EMC",,"",none,,,,,,,,,,,50.0,46.6,44.3,47.0
102,8095929,VMware,"Method and system for determining a cost-benefit metric for potential virtual machine migrations",2012-01-10,"VMware LLC",6.0,0.64,144,63,7,"IBM; Amazon; Citrix; Red Hat; Dell EMC; HPE; Intel",,"",none,,,,,,,,,,,50.8,45.7,44.4,47.0
103,10848408,VMware,"Methods and apparatus to control computing resource utilization of monitoring agents",2020-11-24,"VMware LLC",14.8,0.99,15,15,2,"Intel; Dell EMC",,"",none,,,,,,,,,,,47.3,44.9,48.6,47.0
104,9495547,Symantec Enterprise,"Systems and methods for applying parental-control approval decisions to user-generated content",2016-11-15,"Symantec Corporation",7.8,0.71,113,100,3,"Intel; Mastercard; OneTrust",computing-data-protection,"Computing Data Protection",cpc-subgroup,,,,,,3,4,3,,,49.7,46.3,44.7,46.9
105,9286102,VMware,"Desktop image management for hosted hypervisor environments",2016-03-15,"VMware LLC",10.1,0.81,60,23,6,"Amazon; Dell EMC; Dropbox; IBM; FireEye; Samsung",,"",none,,,,,,,,,,,49.4,44.9,46.3,46.9
