rank,patent_id,affiliate,title,grant_date,assignee,years_remaining,forward_citations,competitor_citations,competitor_count,competitors,super_sector,super_sector_name,sector,sector_name,eligibility_score,validity_score,claim_breadth,enforcement_clarity,design_around_difficulty,market_relevance_score,ipr_risk_score,prosecution_quality_score,implementation_type,standards_relevance,score_consensus,score_ip-lit-aggressive,score_ip-lit-balanced,score_ip-lit-conservative,score_licensing,score_corporate-ma,score_executive,rank_ip-lit-aggressive,rank_ip-lit-balanced,rank_ip-lit-conservative,rank_licensing,rank_corporate-ma,rank_executive
27,8830823,Nicira (VMware SDN),"Distributed control platform for large-scale production networks",2014-09-09,"Nicira, Inc.",8.6,45,14,8,"Microsoft; Huawei; Intel; HPE; Cisco",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,4,4,4,4,,,,,,31.65,35.23,37.04,23.90,37.39,26.35,29.98,29,26,70,7,44,32
28,10139876,VMware,"Efficient reboot of an operating system executed in a virtual machine",2018-11-27,"VMware LLC",12.9,69,69,1,"Amazon",SECURITY,"Security",cryptography,"Cryptography/Encryption",4,4,4,3,4,,,,,,31.64,34.56,37.03,29.84,30.38,30.62,27.44,37,27,15,49,11,59
29,9378044,VMware,"Method and system that anticipates deleterious virtual-machine state changes within a virtualization",2016-06-28,"VMware LLC",10.4,39,29,7,"Microsoft; IBM; Zscaler; Amazon; Bank of America",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,3,4,,,,,,31.47,33.35,36.63,25.66,30.49,30.61,32.06,49,33,44,47,12,17
30,8626723,VMware,"Storage-network de-duplication",2014-01-07,"VMware LLC",8.0,63,22,4,"Dell EMC; NetApp; Dropbox; IBM",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",4,4,4,4,4,,,,,,31.18,35.58,36.76,23.20,36.49,25.75,29.30,24,30,80,10,54,38
31,10944691,VMware,"Container-based network policy configuration in software-defined networking (SDN) environments",2021-03-09,"VMware LLC",15.1,65,27,5,"IBM; Cisco; Dell EMC; Red Hat; Juniper",SDN_NETWORK,"SDN & Network Infrastructure",sdn-qos,"SDN QoS/Traffic",4,3,4,3,4,,,,,,31.09,32.55,35.02,28.87,29.78,29.74,30.58,66,51,23,57,18,26
32,9384033,VMware,"Large receive offload for virtual machines",2016-07-05,"VMware LLC",10.5,10,9,5,"Dell EMC; Juniper; Microsoft; Samsung; Realtek",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,30.93,36.29,37.67,24.83,30.14,26.28,30.35,22,24,61,52,45,27
33,8909928,VMware,"Securing customer virtual machines in a multi-tenant cloud",2014-12-09,"VMware LLC",8.9,138,88,5,"Cisco; IBM; Amazon; Microsoft; HPE",SECURITY,"Security",sec-policy,"Security Policy/Integrity",4,3,4,4,4,,,,,,30.88,33.79,35.30,23.67,36.10,26.18,30.25,44,49,73,13,48,29
34,9602422,Nicira (VMware SDN),"Implementing fixed points in network state updates using generation numbers",2017-03-21,"Nicira, Inc.",11.2,38,37,2,"Intel; Juniper",VIRTUALIZATION,"Virtualization & Cloud",cloud-topology,"Cloud Topology/Discovery",4,4,4,3,4,,,,,,30.75,34.60,36.92,24.68,30.12,29.70,28.48,36,29,62,53,19,48
35,9286102,VMware,"Desktop image management for hosted hypervisor environments",2016-03-15,"VMware LLC",10.1,60,23,6,"Amazon; Dell EMC; Dropbox; IBM; FireEye",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,4,3,,,,,,30.74,33.60,36.36,26.16,29.80,26.42,32.07,46,36,39,56,42,16
36,8892706,VMware,"Private ethernet overlay networks over a shared ethernet in a virtual environment",2014-11-18,"VMware LLC",8.8,116,20,7,"IBM; Dell EMC; Red Hat; HPE; Juniper",SDN_NETWORK,"SDN & Network Infrastructure",infra-bridge,"Infra Bridge/Switch",4,3,4,4,4,,,,,,30.58,33.25,35.01,23.29,35.58,26.05,30.27,52,52,79,16,51,28
37,10333975,VMware,"Enhanced computing system security using a secure browser",2019-06-25,"VMware LLC",13.4,223,100,1,"OneTrust",SECURITY,"Security",auth-ids,"Intrusion Detection/Prevention",4,3,4,4,3,,,,,,30.46,32.67,34.54,30.77,29.63,27.06,28.07,63,58,11,59,36,51
38,9306909,Nicira (VMware SDN),"Connection identifier assignment and source network address translation",2016-04-05,"Nicira, Inc.",10.2,48,32,2,"Intel; T-Mobile",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,3,4,4,4,,,,,,30.45,35.04,37.17,25.16,28.46,26.78,30.12,34,25,54,77,38,31
39,10313479,VMware,"Methods and apparatus to manage workload domains in virtual server racks",2019-06-04,"VMware LLC",13.4,18,10,3,"Microsoft; McAfee; HPE",VIRTUALIZATION,"Virtualization & Cloud",cloud-nfv,"Cloud NFV/Service Orchestration",4,4,4,4,4,,,,,,30.40,35.30,36.29,27.80,28.74,25.35,28.95,27,37,28,72,59,42
40,10198299,VMware,"Enabling live migration of virtual machines with passthrough PCI devices",2019-02-05,"VMware LLC",13.0,16,10,3,"Red Hat; Cisco; Huawei",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",4,4,4,4,4,,,,,,30.31,35.24,36.29,27.70,28.58,25.22,28.85,28,38,29,75,61,44
41,9921864,VMware,"Dynamic host performance tuning of a network stack",2018-03-20,"VMware LLC",12.2,90,88,3,"Amazon; Oracle; Red Hat",VIRTUALIZATION,"Virtualization & Cloud",vmh-migration,"VMH Migration",3,3,4,4,4,,,,,,30.19,32.54,35.00,29.30,27.23,26.37,30.68,67,53,20,103,43,25
42,9465617,VMware,"Implementing upcall from secure to non-secure mode by injecting exception into non-secure mode",2016-10-11,"VMware LLC",10.7,12,9,4,"Qualcomm; Microsoft; Texas Instruments; CrowdStrike",COMPUTING,"Computing & Systems",computing,"Computing/Data Processing",4,4,4,4,4,,,,,,30.04,35.55,36.68,23.93,29.17,25.49,29.40,25,32,69,63,58,36
43,10749870,VMware,"Adaptive device enrollment",2020-08-18,"VMware LLC",14.6,169,100,1,"OneTrust",SECURITY,"Security",sec-auth,"Security Authentication",4,3,4,4,3,,,,,,29.91,32.35,34.54,30.13,28.65,26.27,27.51,69,57,13,73,46,57
44,8429647,VMware,"Virtual machine migration across network by publishing routes to the associated virtual networks via",2013-04-23,"VMware LLC",7.3,76,43,7,"Oracle; Intel; Google; Juniper; Red Hat",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",4,4,4,3,4,,,,,,29.87,33.00,35.23,22.95,29.95,28.73,29.36,55,50,82,55,24,37
45,10249266,VMware,"Preserving desktop state across login sessions",2019-04-02,"VMware LLC",13.2,49,30,1,"Fortinet",COMPUTING,"Computing & Systems",systems-software,"Systems Software",3,4,4,4,4,,,,,,29.85,33.77,36.23,28.51,26.68,25.93,27.96,45,40,24,112,52,53
46,10255090,VMware,"Hypervisor context switching using a redirection exception vector in processors having more than two",2019-04-09,"VMware LLC",13.2,31,31,1,"Amazon",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,29.74,33.13,35.87,27.58,27.70,28.30,25.82,54,45,31,91,28,78
47,9558029,Nicira (VMware SDN),"Logical processing for containers",2017-01-31,"Nicira, Inc.",11.0,51,37,1,"Cisco",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,29.71,33.56,36.05,24.10,28.81,29.27,26.44,47,42,67,70,21,71
48,9621516,VMware,"Firewall configured with dynamic membership sets representing machine attributes",2017-04-11,"VMware LLC",11.2,30,9,3,"Juniper; Amazon; Disney",SECURITY,"Security",auth-firewall,"Firewall/Filtering",4,4,4,4,4,,,,,,29.70,35.08,35.70,23.63,29.15,25.61,29.01,32,47,74,64,56,40
49,9766930,VMware,"Using active/passive asynchronous replicated storage for live migration",2017-09-19,"VMware LLC",11.7,13,8,4,"IBM; Dell EMC; Amazon; Pure Storage",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,4,4,,,,,,29.63,35.10,36.09,23.54,28.86,25.18,28.98,31,41,76,69,62,41
50,8453143,VMware,"Reducing the latency of virtual interrupt delivery in virtual machines",2013-05-28,"VMware LLC",7.4,38,29,4,"Amazon; Red Hat; IBM; Intel",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,4,4,,,,,,29.61,35.42,36.97,22.90,28.43,25.13,28.84,26,28,84,78,64,45
51,11502958,Nicira (VMware SDN),"Automatic configuration of logical routers on edge nodes",2022-11-15,"Nicira, Inc.",16.8,16,14,1,"Oracle",SDN_NETWORK,"SDN & Network Infrastructure",sdn-qos,"SDN QoS/Traffic",4,4,4,4,4,,,,,,29.53,34.69,36.68,27.39,26.51,24.89,27.01,35,31,32,116,67,64
52,9231892,VMware,"Distributed virtual switch configuration and state management",2016-01-05,"VMware LLC",10.0,13,10,3,"Intel; Microsoft; IBM",SDN_NETWORK,"SDN & Network Infrastructure",sdn-switching,"SDN Switching",4,4,4,4,4,,,,,,29.48,35.16,36.29,23.41,28.32,25.01,28.68,30,39,78,79,65,46
53,8719817,VMware,"Virtualization intermediary/virtual machine guest operating system collaborative SCSI path managemen",2014-05-06,"VMware LLC",8.3,22,16,5,"Dell EMC; Red Hat; Huawei; Intel; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,29.43,33.98,35.53,21.72,33.90,23.85,27.59,42,48,109,23,85,56
54,9762619,Nicira (VMware SDN),"Multi-layer policy definition and enforcement framework for network virtualization",2017-09-12,"Nicira, Inc.",11.6,55,16,6,"Dell EMC; Amazon; Cisco; Oracle; Palantir",SECURITY,"Security",auth-access,"Access Control/Policy",4,3,4,3,4,,,,,,29.34,31.39,33.75,23.61,28.88,28.75,29.65,79,69,75,67,23,34
55,9047133,VMware,"Single, logical, multi-tier application blueprint used for deployment and management of multiple phy",2015-06-02,"VMware LLC",9.4,48,31,10,"IBM; Huawei; Oracle; Microsoft; Amazon",COMPUTING,"Computing & Systems",software-engineering,"Software Engineering",4,3,4,3,4,,,,,,29.31,29.61,31.84,26.67,32.91,26.81,28.04,91,84,35,30,37,52
56,8661213,VMware,"Method and system for frequent checkpointing",2014-02-25,"VMware LLC",8.1,24,21,3,"Microsoft; Red Hat; IBM",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-recovery,"FT Recovery/Checkpoint",4,4,4,4,4,,,,,,29.27,34.23,35.90,21.60,33.13,23.69,27.04,41,44,112,28,91,63
57,10963349,VMware,"Containerized application snapshots",2021-03-30,"VMware LLC",15.2,17,11,5,"Tencent; Bank of America; Juniper; Pure Storage; Red Hat",FAULT_TOLERANCE,"Fault Tolerance & Reliability",ft-recovery,"FT Recovery/Checkpoint",4,3,4,4,4,,,,,,29.22,32.86,34.69,27.22,27.05,24.61,28.88,58,55,33,107,73,43
58,8443166,VMware,"Method for tracking changes in virtual disks",2013-05-14,"VMware LLC",7.3,30,15,6,"Red Hat; Google; HPE; Citrix; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",storage-virtualization,"Storage Virtualization",4,4,4,4,4,,,,,,28.94,34.33,35.87,22.37,28.07,24.63,28.36,39,46,91,84,72,49
59,10652281,VMware,"Network policy implementation in a tag-based policy architecture",2020-05-12,"VMware LLC",14.3,20,10,5,"Microsoft; Palo Alto Networks; Cisco; Apple; Arista",SECURITY,"Security",auth-firewall,"Firewall/Filtering",4,3,4,4,4,,,,,,28.91,32.50,34.16,26.90,26.91,24.43,28.57,68,63,34,110,76,47
60,8392623,VMware,"Guest/hypervisor interrupt coalescing for storage adapter virtual function in guest passthrough mode",2013-03-05,"VMware LLC",7.1,16,16,6,"Red Hat; IBM; Dell EMC; Huawei; Intel",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,4,4,,,,,,28.88,34.47,36.37,22.31,27.61,24.31,28.22,38,35,93,92,79,50
61,9134922,VMware,"System and method for allocating datastores for virtual machines",2015-09-15,"VMware LLC",9.6,483,99,2,"Pure Storage; HPE",SDN_NETWORK,"SDN & Network Infrastructure",proto-distributed,"Protocol Distributed",4,3,4,4,3,,,,,,28.58,29.39,30.01,27.61,33.76,24.53,26.20,92,115,30,25,74,73
62,9063866,VMware,"Page table data structure for online classification of memory pages based on activity level",2015-06-23,"VMware LLC",9.4,23,9,6,"Huawei; Red Hat; Cisco; Intel; Google",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,4,4,4,4,,,,,,28.57,31.75,32.86,26.40,32.28,22.47,25.67,76,74,37,32,116,82
63,10382529,Nicira (VMware SDN),"Directed graph based span computation and configuration dispatching",2019-08-13,"Nicira, Inc.",13.6,77,31,2,"Intel; Fortinet",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",3,4,4,3,4,,,,,,28.52,30.64,32.80,26.46,27.02,27.63,26.58,83,75,36,109,31,67
64,10848461,Nicira (VMware SDN),"Unified security policies across virtual private clouds with overlapping IP address blocks",2020-11-24,"Nicira, Inc.",14.8,8,7,4,"IBM; Netskope; Mastercard; Microsoft",SECURITY,"Security",auth-firewall,"Firewall/Filtering",4,4,4,4,4,,,,,,28.50,33.33,34.12,25.85,27.17,23.47,27.06,50,66,42,104,95,62
65,8966581,VMware,"Decrypting an encrypted virtual machine using asymmetric key encryption",2015-02-24,"VMware LLC",9.1,19,11,5,"Amazon; Dell EMC; IBM; Microsoft; Tencent",SECURITY,"Security",sec-auth,"Security Authentication",4,4,4,4,4,,,,,,28.40,31.88,33.02,26.12,31.72,22.15,25.50,74,73,40,39,127,88
66,9459904,VMware,"NUMA I/O aware network queue assignments",2016-10-04,"VMware LLC",10.7,13,12,4,"IBM; Samsung; Juniper; Red Hat",VIRTUALIZATION,"Virtualization & Cloud",vmh-placement,"VMH Placement/DRS",4,4,4,3,4,,,,,,28.32,32.09,33.97,22.12,27.90,26.73,27.07,71,68,100,87,40,61
67,9705974,VMware,"Methods and apparatus to transfer physical hardware resources between virtual rack domains in a virt",2017-07-11,"VMware LLC",11.5,12,7,4,"Intel; IBM; HPE; Dell EMC",VIRTUALIZATION,"Virtualization & Cloud",vm-deployment,"VM Deployment/Loading",4,4,4,4,4,,,,,,28.09,33.47,34.12,22.19,27.59,23.80,27.34,48,65,97,93,89,60
68,8949585,VMware,"In-place conversion of virtual machine state",2015-02-03,"VMware LLC",9.0,16,10,5,"HPE; Capital One; IBM; Zscaler; Amazon",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,4,4,,,,,,27.87,31.41,32.52,25.56,31.09,21.69,24.97,78,77,45,42,147,98
69,10002084,VMware,"Memory management in virtualized computing systems having processors with more than two hierarchical",2018-06-19,"VMware LLC",12.4,16,7,3,"IBM; Intel; Huawei",COMPUTING,"Computing & Systems",memory-management,"Memory Management",4,4,4,4,4,,,,,,27.85,32.68,33.14,25.14,26.61,23.14,26.42,62,72,55,115,101,72
70,10063469,Nicira (VMware SDN),"Forwarding element implementation for containers",2018-08-28,"Nicira, Inc.",12.6,20,10,1,"Oracle",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,4,4,4,4,,,,,,27.85,32.87,34.32,25.53,25.24,23.58,25.58,57,62,47,142,93,83
71,9052961,VMware,"System to generate a deployment plan for a cloud infrastructure according to logical, multi-tier app",2015-06-09,"VMware LLC",9.4,39,18,9,"Amazon; Microsoft; Bank of America; SAP; IBM",VIRTUALIZATION,"Virtualization & Cloud",vm-resource,"VM Resource Management",3,4,4,3,4,,,,,,27.84,28.34,30.80,25.53,31.05,25.14,26.20,113,96,46,43,63,74
72,10275258,VMware,"Systems and methods for enhancing the availability of multi-tier applications on cloud computing pla",2019-04-30,"VMware LLC",13.3,9,8,2,"Red Hat; HPE",COMPUTING,"Computing & Systems",systems-software,"Systems Software",4,4,4,4,4,,,,,,27.80,32.99,34.12,25.09,25.55,22.97,26.09,56,64,57,137,107,76
73,9225597,Nicira (VMware SDN),"Managed gateways peering with external router to attract ingress packets",2015-12-29,"Nicira, Inc.",9.9,60,9,4,"Huawei; Juniper; Cisco; Amazon",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",4,4,4,4,4,,,,,,27.80,31.00,31.18,25.42,31.98,22.20,25.01,80,90,48,33,124,97
74,8959215,Nicira (VMware SDN),"Network virtualization",2015-02-17,"Nicira, Inc.",9.1,76,37,6,"F5 Networks; Arista; Red Hat; Microsoft; Cisco",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,3,4,3,4,,,,,,27.77,28.41,30.66,25.75,31.18,24.88,25.74,107,99,43,41,68,81
75,9407599,Nicira (VMware SDN),"Handling NAT migration in logical L3 routing",2016-08-02,"Nicira, Inc.",10.5,75,7,2,"Cisco; Amazon",SDN_NETWORK,"SDN & Network Infrastructure",sdn-routing,"SDN Routing",4,4,4,4,4,,,,,,27.73,32.60,32.16,21.99,28.08,24.66,26.90,64,81,105,83,71,66
76,10616104,Nicira (VMware SDN),"Forwarding element implementation for containers",2020-04-07,"Nicira, Inc.",14.2,16,10,1,"Oracle",VIRTUALIZATION,"Virtualization & Cloud",cfg-automation,"Config Automation",4,4,4,4,4,,,,,,27.68,32.77,34.32,25.34,24.93,23.33,25.41,60,61,49,146,99,92
77,9170798,VMware,"System and method for customizing a deployment plan for a multi-tier application in a cloud infrastr",2015-10-27,"VMware LLC",9.8,29,23,10,"IBM; Amazon; Bank of America; Oracle; Capital One",COMPUTING,"Computing & Systems",io-interfaces,"I/O Interfaces",3,3,4,4,4,,,,,,27.68,29.03,31.54,26.05,29.03,22.96,27.49,97,86,41,66,108,58
78,9727355,VMware,"Virtual Hadoop manager",2017-08-08,"VMware LLC",11.5,21,13,3,"Bank of America; IBM; Microsoft",VIRTUALIZATION,"Virtualization & Cloud",vmh-core,"VMH Core/Hypervisor",3,4,4,4,4,,,,,,27.65,32.29,33.98,22.27,25.83,23.84,27.69,70,67,96,130,87,55
